node_id	longitude	latitude
u155kkhppd5u	4.411338	51.219475
u155kkhyz5uh	4.412346	51.219441
u155kkjqccbp	4.412802	51.219431
u155hx2npzxc	4.416847	51.193240
u155kkjzmnsj	4.413634	51.219542
u155kkpx8ngc	4.415823	51.219586
u155kkpz3m2j	4.416214	51.219535
u155ks0ph1s0	4.416681	51.219471
u155hx7qbkb5	4.420978	51.193354
u155hx7r797u	4.421123	51.193421
u155hx7wk65c	4.421498	51.193253
u155ks1ntjeg	4.418097	51.219408
u155ks1ry124	4.418478	51.219599
u155ks5ncvb0	4.420699	51.219451
u155kshxhmzu	4.422877	51.219495
u155ksjp1yeb	4.423451	51.219498
u155ksjpkvrv	4.423585	51.219535
u155hz2q4xxc	4.427952	51.193240
u155hz3nqus1	4.429159	51.193267
u155hz3qqn7y	4.429470	51.193277
u155hz3xq4h0	4.429813	51.193425
u155hz6n9mrf	4.430301	51.193314
u155hz6xp3zg	4.431245	51.193381
u155ku0nmzbp	4.427737	51.219377
u155hz7z61kh	4.432731	51.193421
u155hzkyffzz	4.434142	51.193344
u155jp2u700p	4.439635	51.192900
u155ku5wyz5b	4.432592	51.219458
u155hzqwem24	4.436556	51.193314
u155hzqygdk5	4.436916	51.193340
u155hzrqx45y	4.437752	51.193297
u155hzrw01gu	4.437795	51.193209
u155jp2ntzu4	4.438729	51.193327
u155jp3w8zgf	4.440574	51.193327
u155jp6mgexu	4.441727	51.193176
u155jp7tu9b0	4.443476	51.193166
u155mh1xpfpu	4.440880	51.219475
u155jpmmvnb0	4.445901	51.193193
u155jpmw3tb1	4.446094	51.193273
u155jpqq2gzv	4.447103	51.193263
u155jpqqhkkj	4.447247	51.193223
u155mhhr6hu1	4.444404	51.219532
u155jprtcv80	4.448851	51.193186
